"","JOIN_NUMBER","assets","years","highest_degree"
"677",16055,659228034,4,"Master's"
"678",16061,308225449,37,"Bachelor's"
"679",16072,602828565,17,"Master's"
"680",16102,334278814,15,"Master's"
"681",16110,243746581,21,"Bachelor's"
"682",16132,684170875,21,"Bachelor's"
"683",16138,16975343,22,"Master's"
"684",16211,385018227,21,"Master's"
"685",16220,67511722,27,"Bachelor's"
"686",16235,176782922,1,"Bachelor's"
"687",16242,39111829,19,"Bachelor's"
"688",16316,87572814,21,"Bachelor's"
"689",16329,473449839,20,"Master's"
"690",16362,159441164,13,"Bachelor's"
"691",16368,227917457,29,"Bachelor's"
"692",16417,123652364,7,"Bachelor's"
"693",16449,302684573,16,"Master's"
"694",16488,135918156,17,"Bachelor's"
"695",16523,184553305,8,"Bachelor's"
"696",16536,4643561,48,"Bachelor's"
"697",16600,23535927,10,"Master's"
"698",16609,510596498,24,"Bachelor's"
"699",16617,219580908,15,"Doctorate's"
